序号,招式,描述,益处,注意事项,常见问题
141,站立后弯,"1.山式站立进入2.双手掌扶髋部两侧3.胯部稍微向前,双肩后旋,开始让你的躯干往后4.抬头看向天花板,让手臂支撑你的重量,尾骨内收,双腿发力5.保持5-8次稳定的呼吸6.退出体式,吸气,从胸口开始把身体带起向上,呼气，回到山式",1.伸展腹前侧，改善驼背不良体态。2.强化后背部及核心肌肉。3.缓解内心焦虑，烦躁及轻微抑郁。,"如有后背,胯部或膝盖炎症,请勿练习。",肋骨外翻，鼓肚子解决方式：肋骨内收，腹部内收，根据自身情况将后弯幅度适当减小
142,站立侧腰伸展,"1.山式站立；2.吸气,双手举过头顶；3.呼气,左手往下直到左大腿,保持腹部微收,缓慢把你的左手掌向下,右手向上举过头顶；4.保持呼吸顺畅,双脚均匀压向地板；5.保持5-8次平稳的呼吸；6.退出体式,吸气时缓慢起身,呼气把双臂落回到身体两侧山式站姿。",1.增强腰髋部和肩膀的灵活性；2.使脊柱得到侧向的伸展；补充全身的精力，驱散睡意；3.促进消化和排泄；促进淋巴液的流动，帮助排毒并增加免疫力。,"如有胯部,后背或肩膀发炎的状况,请勿练习。",手臂在面部前方解决方式：向下弯的幅度减少，将手臂放于耳朵旁侧或者后侧，同时肩膀下沉
143,三角式,1.山式站立进入；2.双手扶髋，右脚向后腿一大步，身体转向垫子的侧面，大约一条腿长的距离；3.确保脚后跟的距离略宽于脚趾，双脚重心均匀；4.转动右脚向正前方，后脚为内扣，双臂向两侧伸展于肩平行；5.吸气左手伸向左侧，好比是你在用手够架子上的东西，身体不要前倾；6.左手向下触碰胫骨、脚踝或地板。检查双脚、胯部和肩膀是否处于同一平面上；7.右臂与地面垂直，掌心向前，肩膀放松；8.扭转头部，目视右手指尖；9.保持5-8次稳定的呼吸；10.退出体式时，呼气低头，吸气腿部与腹部肌肉用力上半身回到直立。,1.增强核心肌群、脚踝、膝盖和大腿的力量；2.拉伸胸部、肩膀、腹股沟肌肉、腿筋和髋部的柔韧性；3.防止因衰老而引起的脊柱、腿脚的老化；4.提升平衡感和专注力。,1.如背部、膝盖或髋部发炎，请勿练习。2.如有心脏病，建议靠着墙来练习，不要抬手臂，将上方的手臂放在髋部上。,上身含胸拱背解决方式：将下方手扶到小腿或者砖的上方，胸腔指向正前方。髋内扣解决方式：展开上方髋，后背好像靠着墙
144,战士一式,1.山式站立进入；2.双手扶髋，右向后撤一大步，脚尖微内扣，转动右侧髋部向前的同时后脚用力向下踩地，吸气双手臂向上延伸，大臂到耳朵两侧，掌心相对；4.确保左膝位于脚踝的正上方且对准前方第二脚趾；5.吸气的同时将手臂举过头顶，掌心相对；6.手臂轻微后摆，扩展胸腔，身体微微后仰。尾椎内收，保护腰背部；7.肩膀放松，目视两手之间的地方；8.坚持5-8次稳定的呼吸；9.退出体式时，呼气双臂落回髋两侧，吸气，后脚一步向前回到山式。,1.增强大腿、脚踝、臀肌、核心肌群、腰背部和肩膀的力量；2.拉伸腹股沟肌肉、髋部、胸部和肩膀；3.可作为后仰姿势的热身动作。,如肩膀、髋部、膝盖或脚踝发炎，请勿练习。,肋骨外翻解决方式：呼气时肋骨内收骨盆歪斜解决方式：推动前方臀部向后，将骨盆摆正
145,战士二式,1.山式站立进入；2.双手扶髋，右脚向后迈一大步，身体转向垫子的侧面，大约一条腿长的距离；3.确保脚后跟的距离略宽于脚趾，双脚重心均匀；4.转动右脚向正前方，后脚为内扣，吸气双臂向两侧张开，呼气时屈右膝臀部向下；5.转动头部，目光注视右手指尖；6.尾椎内收，腹部收紧，双臂向两侧延展。肩膀放松，不要耸肩；7.保持5-8次呼吸；8.退出体式时，呼气并放下双臂，后腿向前迈。吸气的同时直立上身，回到山式。,1.增强大腿、脚踝、臀肌、核心肌群、手臂和肩膀的力量。2.拉伸腹股沟肌肉、髋部和胸部。3.提升平衡感和专注力。,如肩膀、髋部或膝盖发炎，请勿练习。,上身躯干过于向前解决方式：上身躯干向后移动重心都在前腿解决方式：后退内侧上提，均衡前腿压力
146,双脚式站立,1.山式站立进入；2.双手扶髋，右脚向后腿一大步，身体转向垫子的侧面，大约一条腿长的距离；3.确保脚后跟的距离略宽于脚趾，双脚重心均匀；4.保持5-8次稳定的呼吸，或者更长；5.退出体式时，身体转向垫子的正前方，双脚并拢，回到山式。,1.增强脚踝、小腿和大腿的力量；2.伸展脊柱顺位、髋部和大腿内侧。,如脚踝、髋部或膝盖发炎，请勿练习。,双脚距离太近解决方式：保持一条腿长的距离
147,半莲花式,1.简易坐姿进入；2.用右手帮助抬高右腿放到左侧腹股沟上；3.坐骨均匀的到垫子上，并且伸展你的脊柱，头部扬起看向天花板的方向，放松双手，放在膝盖上面；4.放松你的肩膀；5.保持这个姿势，深长的呼吸，1-5分钟的时间或者更长（根据自身情况）；6.退出体式时，把右脚收回，回到简单的坐姿。,1.预防及治疗风湿症，哮喘和支气管炎。非常适做呼吸练习和冥想的坐姿；2.有助于使人的身体稳定、安宁，心灵和平；3.为全莲花体式做准备。,如骶骨、膝盖或者踝关节有炎症者，请勿练习。,膝关节高于髋关节解决方式：臀部下方垫砖或者毛毯脊背无法向上立直解决方式：前期选择靠墙练习
148,船式,1.山式坐姿进入；2.屈双膝脚掌心踩地，双手指尖点地放于臀部两侧，吸气时背部挺直胸腔上提，呼气时双腿向上伸直，双手向前伸直于双膝的两侧，掌心相对；3.眼睛看向脚趾，启动背阔肌拉动肩膀下沉，胸腔不断向上；4.下方坐骨保持稳定，控制呼吸的稳定；5.保持5-8次呼吸；6.退出体式时，呼气，屈双膝脚掌心踩地，回到山式坐姿。,1.强健腹部、大腿和背部肌肉；2.给骨盆输送健康的血液，按摩腹部器官。缓解腹部胀气，增强肾脏，减少腰部脂肪；3.提升身体的平衡性和专注力。,1.如膝盖，臀部，肩膀或者腹腔有炎症，请勿练习；2.背部要尽量挺直，使脊椎往上提，否则尾骨会往下压，导致背痛；3.经期、孕妇人群请勿练习。,上身含胸拱背，重心过于向后解决方式：屈双膝，将胸腔上提来保持此动作
149,束角式前屈,1.山式坐姿进入；2.屈双膝脚掌心相对，脚跟尽可能去靠近会阴处，双手与身体前侧指尖点地；3.吸气时胸腔上提背部保持延展，呼气时身体向下，慢慢将双臂向前伸直，低头放松；4.体式中要保持大腿根部的放松，自然的呼吸；5.保持5-8次呼吸，或者更长；6.退出体式时，双手指尖推地上身回到直立，双手扶双膝外侧缓慢并拢双腿伸直，回到山式坐姿放松。,1.伸展髋关节，使髋关节更加灵活，腹部以及背部会得到足够的血液供应；2.缓解坐骨神经痛；3.对于怀孕的女性可以减轻分娩的痛苦；4.改善肾脏功能，缓解经期疼痛。,如髋关节有炎症、腰间盘突出、女性患有子宫脱垂，请勿练习。,髋部过紧，膝关节高于骨盆解决方式：臀部下方可垫砖或毛毯
150,坐姿开肩式,1.简易坐姿进入；2.双手放与背后十指交叉掌跟合十；3.吸气时胸腔上提，背部保持延展，呼气时屈肘来到右侧腰部旁侧，将右侧肘部主动靠向左侧肘部，眼睛平视前方；4.感受肩膀前侧的伸展，下方双膝保持下沉放松，每次呼气时右肘主动靠向左肘：5.保持5-8次呼吸，或者更长；6.退出体式时，吸气，手臂向后伸直还原，呼气，松开双手回到简易坐姿。,1.伸展肩部和胸部，帮助打开僵紧的肩部；2.预防和改善肩膀内扣、含胸驼背等不良姿态。,如坐骨和肩膀、膝关节有炎症，请勿练习。,塌腰，肋骨向外翻解决方式：呼气时，肋骨内收，背部垂直与地面
151,牛面式,"1.简易坐姿进入;2.将双腿弯曲交叉右腿在上，左腿在下，脚跟贴向臀部的两侧，确保臀部均匀沉向地面;3.吸气双臂打开与肩平行，右侧大拇指向下，环绕向下向后，到背部的肩胛骨中间掌心朝外;4.左手慢慢向上，屈肘小臂落到后脑勺的位置，双手相扣同时互拉找到对抗的感觉,眼睛平视前方；5.保持胸腔上提，背部直立垂直于骨盆；6.保持5-8次呼吸；7.退出体式时，吸气松开双手，呼气松开双腿回到山式坐姿。",1.灵活肩部，伸展上背部肌肉，拉伸臀部，膝盖和脚踝；2.缓解和控制坐骨神经痛、膝关节疼痛等障碍；3.消除精神层面的紊乱与障碍，如情绪低落、沮丧、抑郁等。,如臀部，膝盖或者肩膀有炎症，请勿练习。,双手扣不到一起解决方式：双手借用伸展带来辅助含胸拱背解决方式：头顶心向上推，脊柱保持挺直向上。肋骨外翻解决方式：呼气时肋骨内收双膝不能重叠在一起解决方式：臀部下方垫砖，做到自己的位置即可
152,坐姿鸟王式,描述；1.简易坐姿进入;2.吸气时双臂向前伸直，右臂在上左臂在下，呼气时，双小臂互相缠绕，掌心相对大拇指指向自己;3.吸气肘关节向上提，伸展大臂外侧，呼气时将肩膀下沉，眼睛看向大拇指;4.保持5-8次均匀的呼吸;5.退出体式时，吸气松开双手向前伸直，呼气手臂落回膝盖上方还原简易坐姿.,1.灵活肩部，消除肩部僵硬感，加强手腕的灵活度;2.拉伸大臂外侧和上背部肌肉。,如臀部，膝盖或者肩膀有炎症，请勿练习。,耸肩向上解决方式：肩膀保持下沉肋骨外翻解决方式：呼气时，肋骨内收下背部无法延展解决方式：臀下方垫瑜伽砖或毛毯
153,简易坐姿,"1.找个舒适的盘腿坐姿;2.双手放在膝盖上方;3.放松胯部,膝盖,双肩和脸部;4.舒适地保持这个体式1-5分钟，或者更长;5.退出体式时，松开双腿放松;",1.有利于膝盖、脚踝等关节的健康，能增强两髋、两膝、两踝的灵活性，减轻或消除风湿和关节炎;2.非常适宜于做呼吸练习和冥想的坐姿;3.有助于使人的身体稳定而安宁，心灵和平。,"如有髋部,膝盖或脚踝发炎,请勿练习。",含胸拱背解决方式：胸腔向上，脊柱延展颈部过于向前解决方式：下颚向内收回下背部无法延展解决方式：臀下方垫瑜伽砖或毛毯
154,坐姿扭转式,1.简易坐姿进入；2.吸气，延伸脊柱；3.左手放于右侧膝盖上，右手指尖朝下，放在身体右后方；4.呼气，旋转右边肩膀向后；5.左手轻轻按住膝盖，身体慢慢向右后方延续旋转胸腔，眼睛看向右方肩膀；6.保持5-8次平稳的呼吸；7退出体式时，吸气，头部收回，双臂放松，身体回到简易坐姿。,1.拉伸背部肌肉，减少腰部脂肪；2.提高脊柱的灵活性，对脊柱神经和整个神经系统都有很好的放松效果；3.预防背痛和腰部风湿病，防止和治疗便秘，强健内脏,1.如有背部，臀部或者膝盖的炎症，请勿练习；2.如有脊柱侧弯的人群，请在医生或者老师辅助下练习。,重心过于向后解决方式：后方手的位置不要离身体太远。下背部无法延展解决方式：胸腔上提，脊柱向上垂直与地面或臀下垫瑜伽砖或毛毯。
155,半船式,1.山式坐姿进入；2.弯曲膝盖，双脚踩地，两手托住大腿后侧；3.吸气，身体稍微向后，双脚略微抬高地面，尾骨支撑，保持平衡；4.呼气，伸直双腿，平行于地面；5.肩膀放松，双手与膝盖平行；6.保持核心力量，提起胸部向上打开；7.保持5-8次均匀的呼吸；8.呼气，放下双腿，回到山式坐姿。,1.强健腹部、大腿和背部肌肉；2.给骨盆输送健康的血液，按摩腹部器官。缓解腹部胀气，增强肾脏，减少腰部脂肪；3.增加身体的平衡性和专注力。,1.膝盖，臀部，肩膀或者腹腔有炎症，请勿练习；2.背部要尽量挺直，使脊椎往上提，否则尾骨会往下压，导致背痛；3.经期、孕期的女性请勿练习。,拱背，重心过于向后解决方式：双手抓小腿，胸腔向上提耸肩解决方式：肩膀下沉
156,简易坐姿前屈,1.简易坐姿进入;2.把你的左脚放在你的右膝盖上面，右脚放于左膝盖下方;3.双手放于臀部两侧，指尖推地，吸气延长你的胸部;4.呼气时，双手向前延伸，带领身体向前向下延展，保持深长的呼吸;5.注意臀部要主动向下沉，感受背部有拉伸感;6.保持5-8次深长的呼吸，或者更长;7.退出体式时，吸气，上身缓慢直立起来，呼气松开双腿向前伸直放松.,1.深度的拉伸臀部，腹股沟肌肉和后背;2.挤压按摩内脏，促进肠胃消化蠕动;3.放松头脑，帮助减少压力.,如有膝盖，臀部或者后背下部分的炎症，请勿练习。,耸肩解决方式：肩膀放松，远离耳朵拱背解决方式：臀下方垫毛毯
157,半脊柱扭转,1.山式坐姿进入；2.弯曲你的右腿并且把脚放在左膝外侧，右脚内侧压实地面；3.右手放于身后，手指尖点地，左边的手肘抵着右膝盖外侧；4.吸气延展脊椎向上；5.呼气开始慢慢从胸腔转向右边；6.凝视点看向右肩的延长线；7.保持左右坐骨均匀下压地面，可以在每次呼气时向后加深一些扭转；8.保持5-8次呼吸；9.退出体式时，吸气，头部收回，松开右手肘，身体回到山式坐姿。,1.拉伸背部肌肉，减少腰部脂肪；2.提高脊柱的灵活性，对脊柱神经和整个神经系统都有很好的放松效果；3.预防背痛和腰部风湿病，防止和治疗便秘，强健内脏。,如有背部，臀部或者膝盖的炎症，请勿练习。,屈膝脚的内侧没有压实地面解决方式：屈膝脚内侧压实地面上身向后倾斜解决方式：上身垂直与地面呼吸急促、混乱解决方式：保持自然呼吸和放松
158,英雄跪姿,1.跪坐体式进入；2.拱背头顶心着地，臀部朝上，双手大手指拨动小腿肌肉向外拨开，将臀部坐向地面；3.双脚背落向地面，尽量让小脚趾压地，背部垂直骨盆，双手放于大腿上方，眼睛看向鼻尖；4.保持5-8次呼吸；5.退出体式时，右腿和左腿依次向前伸直，回到山式坐姿放松。,1.消除两脚脚跟的疼痛，促使形成适当的足弓度，有助于治愈扁平足；2.治愈膝部由于痛风和风湿症所引起的疼痛；3.晚上休息前练习，会帮助腿部放松。,如有膝盖或坐骨炎症，请勿练习。,臀部无法贴向地面，脚踝处疼痛解决方式：1.臀部下方垫砖或者毛毯2.根据自身情况来选择动作的幅度
159,鹭式,1.山式坐姿进入；2.弯曲右边膝盖并且把你的脚背放在右边的臀部外侧和英雄坐姿相近；3.弯曲你的左边膝盖脚掌心踩地，双手交叉抱住脚；4.确保两边的坐骨均匀沉向地面；5.缓缓伸直左脚往上抬离地面；6.保持你的脊柱延长，肩膀下沉放松，胸腔打开；7.保持5-8次呼吸；8.退出体式时，呼气弯曲左膝盖，放松双手，伸直双腿回到山式坐姿。,1.伸展大腿肌肉，尤其是腘绳肌及小腿跟腱部分，消除脚部酸痛或抽筋现象，增加柔韧度；2.按摩髋部的器官，滋养内脏。促进下半身血液循环。,1.如果有臀部，膝盖或者踝关节炎症着，请勿练习；2.经期请勿练习。,耸肩解决方式：肩膀下沉，双手抓小腿或者膝后侧再将腿伸直上方腿伸不直解决方式：双手辅助瑜伽伸展带或者毛巾套住脚掌心来保持。
160,莲花式,1.简易坐姿进入；2.彎曲你的左腿和你的左腳盤坐在右腿上面，身體正對前方，腳跟貼著骨盆；3.彎曲你的右膝，將右腳輕輕地放在左腿大腿根部的上方，和上一個步驟相似的方式；4.双膝均匀自然的沉向地面；5.双手放在双膝上；6.保持1-5分钟的时间，或者更长；7.退出体式时，用手帮忙，慢慢将双脚解开，回到山式坐姿放松。,1.预防及治疗风湿症，哮喘和支气管炎。非常适宜于做呼吸练习和冥想的坐姿；2.使神经系统充满活力，强壮脊柱和腹部器脏；3.放松两踝、两膝，使大腿结实，柔软髋和腿部；4.对患有神经和情绪问题的人们非常有益，助于人的身体稳定而安宁，心灵和平。,1.如臀部、膝盖或者踝关节有炎症者，请勿练习；2.初学者和髋部及踝关节较僵硬的习练者，不建议尝试此体式，以免受伤。,1.一侧脚踝疼2.双膝分的太开3.双膝高度不一样解决方式：要了解和觉知自身的情况，当身体出现疼痛，应退出此体式，或者减小体式的幅度，选择半莲花来保持
161,美人鱼式,1.猫式进入；2.右膝前移，紧挨右手内侧；3.向后伸展左腿，臀部下压，接触地面；4.双手按住垫子，向后展肩，尽力扩展胸腔，身体轻微后仰；5.左膝弯曲，左手向后伸展，抓住抬起的左脚；6.左脚沿小臂向上移动，直至固定在左臂的肘部；7.右臂举过头顶，弯曲肘关节，左右手手指于脑后相扣。目视前方，放松肩膀，延展脊柱；8.保持5-8次呼吸；9.退出体式时，呼气，释放左脚，松开双手，回到四肢着地的猫式。,1.充分拉伸髋部、大腿、腹股沟部位的肌肉以及腹部、肩膀与后背；2.增强上背部、肩部与核心肌群的力量；3.提升平衡感与专注力；,如脚踝、膝盖、髋部或肩部发炎，请勿练习。,双手扣不到一起，肋骨外翻解决方式：双手抓瑜伽伸展带，套在后脚背上方来保持。呼气时，将肋骨内收髋关节侧翻解决方式：髋关节中立在一个水平面
162,神猴式,1.下犬式进入；2.迈出左腿，确保左膝位于脚踝的正上方；3.呼气的同时伸直左腿，臀部向后压；4.左脚脚掌心逐渐离开垫子，用脚后跟着地；5.开始向前推送左脚的脚后跟，慢慢地伸直双腿。用双手进行支撑与调整；6.继续伸展脚后跟，直至左腿大腿的后侧与右腿大腿的前侧接触到垫子。确保双腿在一条直线上，骨盆不要向一侧倾斜，髋部保持平行；7.双臂举过头顶，目视前方，平稳地呼吸；8.保持5-8次稳定的呼吸，或者更长；9.退出体式时，呼气，将双手分置于左腿两侧，慢慢地收回左腿，回到下犬式。,1.充分拉伸腿部、腹股沟部位的肌肉；2.增强肩膀与核心肌群的力量；3.有助于治疗坐骨神经痛和其他腿部疾患，也能增强腿部，肌肉韧度和力量，保持腿部健康；4.建议跑步者和赛跑运动员定期练习这个体式。,1.如有腹股沟、髋部、或腿后筋肌发炎，请勿练习此体式；2.初学习练者请根据自身情况可尝试但不要强求，以免拉伤腿部。,髋部两端一前一后解决方式：双手握拳撑地，来调整髋部两端平行，幅度大小要根据自身情况来调整。
163,坐立前屈式,1.山式坐姿进入；2.吸气，手臂举过头顶，延展脊柱；3.呼气，做体前屈，躯干向前下压；4.保持后背的放松；5.随着每次吸气向前方延展脊柱，随着每次呼气，不断地将胸部贴近双腿；6.保持5-8次深长的呼吸；7.退出体式时，吸气起身，呼气，回到山式坐姿。,1.拉伸腰背部肌肉、腿部韧带、跟腱和髋部肌肉；2.对肝、胰腺和肾脏起按摩的作用，有助于肠胃蠕动，改善吸收系统；3.有助于放松精神平静大脑。,1.如髋部和腰间盘突出、请勿练习；2.女性孕妇请勿练习。,双腿无法伸直解决方式：可以弯曲膝盖，做到自己的极限即可脊背无法延展解决方式：臀下垫毛毯或者瑜伽砖，使脊背充分延展
164,坐立单腿头碰膝式,1.山式坐姿进入；2.弯曲右膝盖，脚掌心抵住左腿的内侧；3.右膝放松，向地板下压。确保髋部保持平行；4.吸气，双臂举过头顶，延伸脊柱；5.呼气，躯干向前下延伸；6.保持后背的平直，手扶左腿胫骨、脚踝或脚趾；7.随着每次吸气向前方延展脊柱，随着每次呼气，不断地将胸部贴近双腿；8.保持5-8次声场的呼吸，或者更长；9.退出体式时，吸气时起身，呼气回到山式坐姿。,益处；1.拉伸脊柱、腿部韧带、跟腱和髋部肌肉。提升髋部的柔韧性；2.有助于肝、胰腺和肾脏的按摩效果，改善肠胃蠕动及吸收系统；3.可达到放松、平和心境。,如髋部、膝盖或肩膀发炎，请避开此体式。,耸肩解决方式：肩膀放松拱背解决方式：腰部挺直向前向下下方腿无法伸直。解决方式：双手抓到小腿外侧，伸直下方腿，无需深入体式
165,坐姿扭转头触膝式,1.坐在地面上，双腿向两边打开，取坐角式；2.弯曲右膝，将右脚拉向骨盆；3.吸气，双臂上举，延展脊柱；4.呼气，身体向左腿方向下压，右手手指越过头顶，伸向左脚脚趾；5.左肩后侧抵住左膝内侧，确保右臂紧贴耳朵，不要从身前越过；6.目视天花板，双手握住左脚；7.保持5-8次深长的呼吸，或者更长；8.退出体式时，吸气起身，呼气放松双臂回到坐角式。,1.增强脊柱和髋关节灵活性，刺激脊柱的血液循环，缓解背部疼痛，同时拉伸腿部后侧肌肉；2.促进消化功能，还有助于治疗性无能，提高性控制能力。,1.如髋部、膝盖或肩膀发炎，请勿练习；2.如有脊柱侧弯习练者请根据老师专业指导下习练。,双手抓不到脚解决方式：双手借用伸展带套在脚掌心，或者将下方手臂放于小腿上方，上方手臂贴向耳朵方向即可。呼吸急促、混乱解决方式：保持呼吸自然，放松
166,坐立侧伸展式,1.简易坐姿，盘腿坐进入；2.吸气，双臂举过头顶；3.呼气，左手或左手肘撑左侧地面，向左侧倾斜躯干；4.右臂越过头顶向左伸直，手臂紧贴耳朵，保持胸腔打开，下方肩膀放松；5.保持5-8次深长的呼吸；6.退出体式时，吸气，左手臂推地并起身，呼气，放松双臂，回到坐姿简单式。,1.增强脊柱和髋关节灵活性，刺激脊柱的血液循环；2.拉伸侧腰部，缓解背部疼痛；3.消除疲劳，强健心脏和腹部器官。,如髋部或肩膀发炎，请勿练习。,耸肩，同侧坐骨没有压实地面解决方式：1.双肩膀放松2.同侧坐骨主动下沉
167,牛面式前屈,1.山式坐姿进入；2.双手向前掌心压地，四肢着地式；3.将右腿盘绕到身体左侧，右膝放在左膝上面，右脚跟放于左臀旁侧；4.确保重心处在正中，两边臀部均匀沉向地面；5.吸气，胸腔和脊柱向上延展，呼气，双手前移，带动躯干下压，在双腿上放松；6.保持5-8次深长的呼吸，或者更长；7.退出体式时，吸气，双手慢慢推地上身向上，松开右腿回到山式坐式。,1.伸展背部，大腿外侧、髋部及脚踝，提升髋部的灵活度；2.缓解和控制坐骨神经痛、膝关节疼痛及腿部痉挛；3.消除精神层面的紊乱与障碍，如情绪低落、沮丧、抑郁等。,如膝盖、髋部或腰背部发炎，请勿练习。,身体无法向下前屈解决方式：将额头下方垫砖（砖的高度根据自己来选择）双膝无法上下重叠解决方式：臀部下方垫毛毯或减小动作幅度
168,简易牛面式,1.选择简易式坐姿，小腿自然交叉进入;2.左臂伸到背后，手肘弯曲，手背抵住脊椎，指尖朝上;3.右臂举过头顶，弯曲手肘，右手在背后与左手相扣;4.保持5-8次深长的呼吸;5.退出体式时，松开双手，取坐姿简单式，双手置于双膝上休息。,1.放松肩关节，扩张胸部。使双腿肌肉柔软有弹性;2.缓解腿部痉挛，矫正背部变形，缓解肩部疼痛，控制坐骨神经痛、膝关节疼痛等障碍;3.消除精神层面的紊乱与障碍，如情绪低落、沮丧、抑郁等。,"如有肩部、髋部、膝盖或脚踝发炎,请勿练习。",双手无法相扣在一起解决方式：双手与背后借用伸展带或毛巾来辅助。拱背解决方式：臀下方垫瑜伽砖或毛毯。
169,简易苍鹭式,1.山式坐姿进入；2.弯曲左膝，左脚跟靠向耻骨；3.弯曲右脚，脚掌心踩地；4.双手在右脚脚底十指相扣；5.慢慢地伸直并抬起右腿，放松肩膀，眼睛看向上方脚趾；6.拉伸脊柱，打开胸腔；7.保持5-8次深长的呼吸；8.退出体式时，呼气，双手松开右脚，回到山式坐姿。,1.伸展大腿肌肉，尤其是腘绳肌及小腿跟腱部分，消除脚部酸痛或抽筋现象，增加柔韧度；2.按摩髋部的器官，滋养内脏。促进下半身血液循环。,1.如果有臀部，膝盖或者踝关节炎症者，请勿练习；2.经期请勿练习。,耸肩、拱背解决方式：肩膀下沉，提胸腔向上上方腿伸不直解决方式：双手抓小腿或者膝后侧在将腿伸直或使用伸展带辅助。
170,山式坐姿,1.简易坐姿进入；2.两腿向前方伸直，大腿发力，脚后跟向前伸；3.将手掌或指尖放在臀部两侧的地板上；4.双手下压，微微抬起躯干，延展脊柱；5.腹部肌肉用力，通过头顶和坐骨分别向上下伸展；6.保持5-8次均匀的呼吸；7.退出体式时，盘腿而坐，回到简易坐姿。,1.拉伸腿部后侧，增强背部力量；2.提升身体的敏感度，矫正不良身姿；3.为静坐、冥想积蓄力量。,如手腕或背部发炎，请勿练习。,塌腰，肋骨外翻解决方式：脊柱垂直与地面，在呼气时肋骨内收。下背部拱起解决方式：臀下方垫瑜伽砖或毛毯。
171,坐角式高级,1.山式坐姿进入；2.弯曲膝盖，用双手的食指和中指等钳住双脚的大脚趾；3.吸气，双腿抬离地面，尽力向两侧劈开；4.挺胸，核心肌群发力，防止背部拱起；5.延伸脊柱，脚尖回扣，后脚跟蹬出，尽力伸直双腿，保持肩部放松；6.保持5-8次呼吸；7.退出体式时，双脚并拢，呼气时放下双腿，回到山式坐姿式。,1.拉伸髋部、腿部后侧。加强髋部和腿部的柔韧性；2.促进骨盆区域的循环。缓解坐骨神经痛及轻微疝气；3.刺激子宫对女性有很好的益处；4.提高身体的平衡感和专注力。,如尾椎骨、髋部、膝盖或肩膀发炎，请勿练习。,含胸拱背解决方式：胸腔上提，脊柱垂直于地面坐骨前后不稳定解决方式：双手抓住小腿后侧
172,坐角式体前屈,1.坐角式进入；2.确保脚趾头指向天花板的方向；3.指尖放在臀部的后方，吸气时扩展胸腔并上提；4.呼气时，双手来到身体前方的地面，慢慢地向前移动；5.必要的时候可以原地稍作休息，让拉伸的痛感稍作缓解，之后再继续动作；6.保持深长的呼吸，5-8次呼吸；7.退出体式时，吸气时双手指尖推地慢慢向上收回，身体坐直回到坐角式。,1.拉伸髋部、腿部后侧。加强髋部和腿部的柔韧性；2.促进骨盆区域额的循环。缓解坐骨神经痛及轻微疝气；3.刺激子宫对女性有很好的益处；4.达到放松、平静心情。,如尾椎骨、髋部、膝盖或肩膀发炎、腰间盘突出者，请勿练习。,上身拱背，无法向下解决方式：身体下方可加一个抱枕，或者双手放于小腿上方，保持腰背挺直向下腿部摆放不正确解决方式：膝盖与脚尖都朝上
173,坐角式扭转头碰膝,1.山式坐姿进入，两腿尽可能地向两边打开，到坐角式；2.吸气，抬起双臂，拉伸脊柱；3.呼气，身体向左腿倾斜，右手越过头部去找左脚脚趾；4.两侧坐骨均匀下沉地面，不要离开地面；5.左肩膀抵住左膝内侧，扩展胸腔；6.确保右臂紧贴耳朵；7.保持5-8次深长的呼吸；8.退出体式时，吸气，上身向上回正，双臂举过头顶。呼气时放下双臂回到坐角式。,1.拉伸侧腰、髂腰肌和腿部的柔韧性；2.促进骨盆区域的循环。缓解坐骨神经痛及轻微疝气；3.刺激子宫对女性有很好的益处；4.达到放松、平静心情。,如髋部、肩膀或膝盖发炎，请避开此体式。,双手抓不到脚解决方式：双手借用伸展带套在脚掌心，或者将下方手臂放于小腿上方，上方手臂贴向耳朵的方向即可。
174,坐角式,1.山式坐姿进入；2.双腿向两侧打开；3.脚趾保持回勾（脚趾间朝上）找到脚踝的内侧向两侧延伸到坐角式；4.保持5-8次深长的呼吸；5.退出体式时，坐角式不动，可以进入下个体式。,1.拉伸髋部、腿部后侧。加强髋部和腿部的柔韧性；2.促进骨盆区域的循环。缓解坐骨神经痛及轻微疝气；3.刺激子宫对女性有很好的益处；4.达到放松、平静心情；5.可用作其他坐角式体式的热身动作。,如髋部或膝盖发炎，请避开此体式。,上身含胸拱背解决方式：双手与臀部后侧推地，将腰背挺直
175,摇篮式,1.山式坐姿进入；2.完全右膝，双手环抱右侧小腿，将脚掌心放在左侧手肘内侧；3.吸气，胸腔上提，背部延展，呼气，左右来回摇摆，放松髋关节；4.慢慢将右小腿贴向胸口；5.保持5-8次稳定的呼吸。6.退出体式时，呼气松开双手回到山式坐姿,1.伸展髋关节，拉伸臀部外侧肌肉，增加髋关节的灵活性，促进髋部周围的血液循环。2.此体式为做莲花式做准备。,如有髋部、膝盖发炎，请勿练习。,含胸拱背解决方式：胸腔上提，将脊柱垂直地面
176,站立趾尖式,1.山式进入；2.双手扶髋，屈膝臀部向下坐，吸气，双臂向前伸直；3.脚跟慢慢向上抬离地面，（双脚踝保持稳定，大腿与地面平行，臀部向下卷动，背部保持向上延展，肩膀放松，双臂与地面平行）眼睛凝视前方；4.保持稳定的呼吸。5.退出体式时，吸气双手扶髋，脚跟落回地面，呼气双腿伸直回到山式,1.加强腿部力量和踝关节的稳定性及身体平衡性；2.塑造手臂线条；3.平和心境。,1.如有脚踝炎症，请勿练习。,重心过于向前解决方式：提胸腔向上，上背部向后崴脚踝解决方式：1.脚踝内侧靠近2.可将砖夹在小腿中间
